"XBUE"	"Buenos Aires Stock Exchange"	"AR"
"WBAH"	"Vienna Stock Exchange"	"AT"
"XASX"	"Australian Stock Exchange"	"AU"
"XBSP"	"Sao Paolo Stock Exchange"	"BR"
"XTSX"	"TSX Venture Exchange"	"CA"
"XTSE"	"Toronto Stock Exchange"	"CA"
"XSWX"	"Swiss Exchange"	"CH"
"XSHE"	"Shenzhen Stock Exchange"	"CN"
"XSHG"	"Shanghai Stock Exchange"	"CN"
"XBER"	"Berlin Stock Exchange"	"DE"
"XHAN"	"Hanover Stock Exchange"	"DE"
"XMUN"	"Munich Stock Exchange"	"DE"
"XSTU"	"Stuttgart Stock Exchange"	"DE"
"XETR"	"XETRA Stock Exchange"	"DE"
"XBRE"	"Bremen Stock Exchange"	"DE"
"XDUS"	"Dusseldorf Stock Exchange"	"DE"
"XHAM"	"Hamburg Stock Exchange"	"DE"
"XFRA"	"Frankfurt Stock Exchange"	"DE"
"XCSE"	"Copenhagen Stock Exchange"	"DK"
"XBAR"	"Barcelona Stock Exchange"	"ES"
"XMCE"	"Madrid SE C.A.T.S."	"ES"
"XBIL"	"Bilbao Stock Exchange"	"ES"
"XMAD"	"Madrid Stock Exchange"	"ES"
"XPAR"	"Paris Stock Exchange"	"Fr"
"XHKG"	"Hong Kong Stock Exchange"	"HK"
"XJKT"	"Jakarta Stock Exchange"	"ID"
"XTAE"	"Tel Aviv Stock Exchange"	"IL"
"XNSE"	"National Stock Exchange of India"	"IN"
"XBOM"	"Bombay Stock Exchange"	"IN"
"MTAX"	"Milan Stock Exchange"	"IT"
"XKRX"	"Korea Stock Exchange"	"KR"
"XKOS"	"KOSDAQ"	"KR"
"XMEX"	"Mexico Stock Exchange"	"MX"
"XAMS"	"Amsterdam Stock Exchange"	"NL"
"XOSL"	"Oslo Stock Exchange"	"NO"
"XNZE"	"New Zealand Stock Exchange"	"NZ"
"XSTO"	"Stockholm Stock Exchange"	"SE"
"XSES"	"Singapore Stock Exchange"	"SG"
"XBKK"	"Stock Exchange of Thailand"	"TH"
"XTAI"	"Taiwan Stock Exchange"	"TW"
"XLON"	"London Stock Exchange"	"GB"
"XASE"	"American Stock Exchange"	"US"
"XNAS"	"NASDAQ Stock Exchange"	"US"
"XNYF"	"New York Board of Trade"	"US"
"XCBT"	"Chicago Board of Trade"	"US"
"XCME"	"Chicago Mercantile Exchange"	"US"
"XCEC"	"New York Commodities Exchange"	"US"
"XOTC"	"OTC Bulletin Board Market"	"US"
"PINX"	"Pink Sheets"	"US"
"XNYM"	"New York Mercantile Exchange"	"US"
"XNYS"	"New York Stock Exchange"	"US"
